Series_reference,Period,Data_value,STATUS,Group,Subject,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,UNITS,MAGNTUDE
GFSA.SCS01G01Z90,2009.06,3400,REVISED,"Central Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SCS01G01Z90,2010.06,-3893,REVISED,"Central Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SCS01G01Z90,2011.06,-13109,REVISED,"Central Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SCS01G01Z90,2012.06,-3908,REVISED,"Central Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SCS01G01Z90,2013.06,-1018,REVISED,"Central Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SCS01G01Z90,2014.06,929,REVISED,"Central Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SCS01G01Z90,2015.06,3938,REVISED,"Central Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SCS01G01Z90,2016.06,4543,REVISED,"Central Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SCS01G01Z90,2017.06,6952,REVISED,"Central Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SCS01G01Z90,2018.06,7682,REVISED,"Central Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SCS01G01Z90,2019.06,7860,REVISED,"Central Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SCS01G01Z90,2020.06,-15702,REVISED,"Central Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SCS01G01Z90,2021.06,-3542,REVISED,"Central Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SCS01G01Z90,2022.06,-10809,REVISED,"Central Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SCS01G01Z90,2023.06,-8972,REVISED,"Central Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SCS01G01Z90,2024.06,-5153,REVISED,"Central Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SCS01G01Z90,2025.06,-8295,FINAL,"Central Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net operating balance,,,,,Dollars,6
GFSA.SCS01G01Z91,2009.06,1356,REVISED,"Central Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
GFSA.SCS01G01Z91,2010.06,-5703,REVISED,"Central Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
GFSA.SCS01G01Z91,2011.06,-14040,REVISED,"Central Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
GFSA.SCS01G01Z91,2012.06,-5124,REVISED,"Central Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
GFSA.SCS01G01Z91,2013.06,-2261,REVISED,"Central Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
GFSA.SCS01G01Z91,2014.06,-1129,REVISED,"Central Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
GFSA.SCS01G01Z91,2015.06,1341,REVISED,"Central Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
GFSA.SCS01G01Z91,2016.06,1735,REVISED,"Central Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
GFSA.SCS01G01Z91,2017.06,4247,REVISED,"Central Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
GFSA.SCS01G01Z91,2018.06,4436,REVISED,"Central Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
GFSA.SCS01G01Z91,2019.06,4283,FINAL,"Central Government, Operating Statement, Net Balances",Government Financial Statistics - GFS,Net lending/borrowing,,,,,Dollars,6
