Period,Anzsic,Anzsic_descriptor,Variable2,Units,Data_value,Gas,Variable1
2010.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),332,Carbon dioxide equivalents,Seasonally adjusted
2010.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),334,Carbon dioxide equivalents,Seasonally adjusted
2010.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),330,Carbon dioxide equivalents,Seasonally adjusted
2010.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),319,Carbon dioxide equivalents,Seasonally adjusted
2011.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),322,Carbon dioxide equivalents,Seasonally adjusted
2011.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),306,Carbon dioxide equivalents,Seasonally adjusted
2011.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),309,Carbon dioxide equivalents,Seasonally adjusted
2011.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),299,Carbon dioxide equivalents,Seasonally adjusted
2012.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),291,Carbon dioxide equivalents,Seasonally adjusted
2012.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),287,Carbon dioxide equivalents,Seasonally adjusted
2012.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),287,Carbon dioxide equivalents,Seasonally adjusted
2012.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),284,Carbon dioxide equivalents,Seasonally adjusted
2013.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),303,Carbon dioxide equivalents,Seasonally adjusted
2013.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),301,Carbon dioxide equivalents,Seasonally adjusted
2013.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),277,Carbon dioxide equivalents,Seasonally adjusted
2013.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),278,Carbon dioxide equivalents,Seasonally adjusted
2014.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),260,Carbon dioxide equivalents,Seasonally adjusted
2014.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),270,Carbon dioxide equivalents,Seasonally adjusted
2014.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),253,Carbon dioxide equivalents,Seasonally adjusted
2014.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),264,Carbon dioxide equivalents,Seasonally adjusted
2015.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),250,Carbon dioxide equivalents,Seasonally adjusted
2015.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),239,Carbon dioxide equivalents,Seasonally adjusted
2015.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),265,Carbon dioxide equivalents,Seasonally adjusted
2015.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),242,Carbon dioxide equivalents,Seasonally adjusted
2016.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),237,Carbon dioxide equivalents,Seasonally adjusted
2016.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),216,Carbon dioxide equivalents,Seasonally adjusted
2016.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),210,Carbon dioxide equivalents,Seasonally adjusted
2016.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),204,Carbon dioxide equivalents,Seasonally adjusted
2017.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),187,Carbon dioxide equivalents,Seasonally adjusted
2017.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),186,Carbon dioxide equivalents,Seasonally adjusted
2017.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),186,Carbon dioxide equivalents,Seasonally adjusted
2017.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),190,Carbon dioxide equivalents,Seasonally adjusted
2018.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),199,Carbon dioxide equivalents,Seasonally adjusted
2018.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),203,Carbon dioxide equivalents,Seasonally adjusted
2018.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),204,Carbon dioxide equivalents,Seasonally adjusted
2018.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),186,Carbon dioxide equivalents,Seasonally adjusted
2019.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),188,Carbon dioxide equivalents,Seasonally adjusted
2019.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),191,Carbon dioxide equivalents,Seasonally adjusted
2019.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),192,Carbon dioxide equivalents,Seasonally adjusted
2019.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),195,Carbon dioxide equivalents,Seasonally adjusted
2020.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),211,Carbon dioxide equivalents,Seasonally adjusted
2020.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),206,Carbon dioxide equivalents,Seasonally adjusted
2020.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),204,Carbon dioxide equivalents,Seasonally adjusted
2020.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),205,Carbon dioxide equivalents,Seasonally adjusted
2021.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),194,Carbon dioxide equivalents,Seasonally adjusted
2021.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),196,Carbon dioxide equivalents,Seasonally adjusted
2021.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),189,Carbon dioxide equivalents,Seasonally adjusted
2021.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),188,Carbon dioxide equivalents,Seasonally adjusted
2022.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),184,Carbon dioxide equivalents,Seasonally adjusted
2022.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),180,Carbon dioxide equivalents,Seasonally adjusted
2022.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),179,Carbon dioxide equivalents,Seasonally adjusted
2022.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),181,Carbon dioxide equivalents,Seasonally adjusted
2023.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),182,Carbon dioxide equivalents,Seasonally adjusted
2023.06,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),186,Carbon dioxide equivalents,Seasonally adjusted
2023.09,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),182,Carbon dioxide equivalents,Seasonally adjusted
2023.12,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),189,Carbon dioxide equivalents,Seasonally adjusted
2024.03,A23,"Forestry, fishing, and support services to agriculture, forestry, and fishing",Emissions intensity,Tonnes per $1million value added (constant prices),192,Carbon dioxide equivalents,Seasonally adjusted
